feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
HSM5MD62	190.284	433.681	326.163	440.138	384.766	329.308	321.807	788.652	457.043	380.525	379.997	458.695	190.926	504.719	463.002	388.462	454.358	383.669	441.099	177.046	449.794	488.351
HSM5MD66	221.269	307.494	290.87	343.456	241.984	276.937	263.519	451.795	278.921	279.295	258.972	314.166	219.693	425.265	310.957	282.086	328.673	241.695	293.48	196.082	306.333	326.934
HSM5MD6A_TR	208.807	374.544	310.043	341.487	295.974	304.322	297.848	552.941	345.734	329.098	310.352	377.46	207.764	477.067	373.729	336.007	430.133	291.811	353.066	176.546	363.246	386.698
HSM5MD6A	252.602	358.669	320.837	353.567	288.814	311.508	287.368	574.975	338.946	313.6	304.263	378.911	208.286	456.984	372.681	335.066	434.333	288.412	354.076	185.787	349.053	392.881
HSM5MD6C	239.839	324.067	310.749	342.132	283.596	287.893	295.117	498.926	258.95	293.949	289.984	351.385	160.399	405.057	288.619	278.913	394.292	286.681	306.389	187.863	336.5	383.766
HSM5MD6E_P	93.5976	325.297	328.394	385.931	318.777	321.456	230.157	475.733	373.194	335.248	314.856	365.5	229.135	344.227	328.093	347.809	384.409	337.508	336.268	223.882	400.982	422.577
HSM5MD6I_P	26.3344	329.731	361.693	444.275	363.346	355.468	227.789	516.064	443.415	384.539	370.126	414.034	168.061	476.055	393.487	392.844	437.778	383.364	397.263	226.781	467.243	481.396
HSM5MD6I	71.5228	420.76	454.718	531.384	429.645	445.872	303.523	643.28	525.958	467.803	444.137	508.083	213.259	593.561	469.972	467.192	526.789	458.468	476.128	322.893	556.058	594.63
HSM5MD6K_P	65.8956	316.195	345.439	388.457	332.47	331.185	221.977	477.185	393.093	339.475	329.859	374.66	164.428	429.448	333.593	329.799	383.438	355.95	340.453	248.894	418.227	439.654
HSM5MD6K	77.4534	431.417	506.663	497.301	436.877	479.729	313.035	670.841	531.19	433.204	427.176	505.038	211.757	623.287	421.246	437.042	509.909	469.409	438.239	371.203	548.799	613.627
HSM5MD6M	87.0045	415.415	478.822	535.859	440.223	463.951	254.303	638.627	535.8	432.183	432.87	501.118	164.982	595.323	465.264	489.594	549.899	467.025	470.671	334.144	552.733	587.945
HSM5MD6O_P	183.546	336.434	306.226	417.157	328.232	310.724	218.097	540.53	351.146	367.903	342.847	415.889	111.92	324.492	394.184	311.287	369.07	323.557	365.328	158.158	387.5	428.813
HSM5MD6Q	224.071	453.765	416.212	555.898	453.456	404.095	331.23	758.64	441.42	469.839	456.445	540.852	217.166	516.383	476.399	438.724	500.879	457.813	466.574	228.751	505.663	572.608
HSM5MD6S_P	136.175	349.566	323.599	413.956	355.83	319.274	230.017	528.666	368.603	366.561	349.943	433.162	165.658	428.681	351.134	281.67	372.077	364.28	360.409	206.721	404.118	474.748
